,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2020-12-04,45079.550781,-0.9999,0.16,0.75,0.089,44665.910156,45148.28125,44665.910156,27600.0
2020-12-07,45426.96875,-0.9996,0.124,0.786,0.089,45099.921875,45458.921875,45024.46875,18700.0
2020-12-08,45608.511719,-0.9998,0.136,0.789,0.075,45568.800781,45742.230469,45335.171875,18200.0
2020-12-09,46103.5,-0.9998,0.141,0.777,0.081,45891.039063,46164.101563,45792.011719,20700.0
2020-12-10,45959.878906,-0.9996,0.12,0.802,0.078,45999.421875,46043.96875,45685.871094,12700.0
2020-12-11,46099.011719,-0.9999,0.147,0.772,0.081,46060.320313,46309.628906,45706.21875,26300.0
2020-12-14,46253.460938,-0.9993,0.112,0.808,0.081,46284.699219,46373.339844,45951.53125,18400.0
2020-12-15,46263.171875,-0.9998,0.123,0.802,0.074,46287.390625,46350.300781,45841.671875,16400.0
2020-12-16,46666.460938,-0.9994,0.105,0.82,0.075,46573.308594,46704.96875,46402.199219,13100.0
2020-12-17,46890.339844,-0.9997,0.123,0.801,0.076,46774.320313,46992.570313,46627.601563,17200.0
2020-12-18,46960.691406,-0.9998,0.132,0.78,0.088,47026.019531,47026.019531,46630.308594,12800.0
2020-12-21,45553.960938,-0.9995,0.103,0.832,0.065,46932.179688,47055.691406,44923.078125,24400.0
2020-12-22,46006.691406,-0.9999,0.158,0.742,0.099,45529.609375,46080.179688,45112.191406,25100.0
2020-12-23,46444.179688,-0.9996,0.12,0.8,0.08,46072.300781,46513.320313,45899.101563,10500.0
2020-12-24,46973.539063,-0.9971,0.082,0.854,0.064,46743.488281,47053.398438,46539.019531,13700.0
2020-12-28,47353.75,-0.9997,0.126,0.789,0.085,47153.589844,47406.71875,47148.238281,9600.0
2020-12-29,47613.078125,-0.9998,0.136,0.774,0.09,47466.621094,47714.550781,47361.898438,12800.0
2020-12-30,47746.21875,-0.9998,0.126,0.797,0.077,47789.03125,47807.851563,47358.359375,15600.0
2020-12-31,47751.328125,-0.9996,0.124,0.783,0.094,47753.109375,47896.96875,47602.121094,13900.0
2021-01-01,47868.980469,-0.999,0.115,0.79,0.095,47785.28125,47984.359375,47771.148438,82700.0
2021-01-04,48176.800781,-0.9999,0.135,0.799,0.066,48109.171875,48220.46875,47594.46875,13900.0
2021-01-05,48437.78125,-0.9998,0.139,0.769,0.092,48037.628906,48486.238281,47903.378906,12200.0
2021-01-06,48174.058594,-0.9998,0.136,0.789,0.075,48616.660156,48616.660156,47864.140625,22500.0
2021-01-07,48093.320313,-0.9998,0.116,0.823,0.061,48524.359375,48558.339844,48037.871094,18400.0
2021-01-08,48782.511719,-0.9999,0.156,0.787,0.057,48464.910156,48854.339844,48365.578125,22200.0
2021-01-11,49269.320313,-0.9999,0.152,0.783,0.065,49252.308594,49303.789063,48956.378906,21200.0
2021-01-12,49517.109375,-0.9999,0.156,0.772,0.072,49228.261719,49569.140625,49079.570313,12700.0
2021-01-13,49492.320313,-0.999,0.08,0.877,0.044,49763.929688,49795.191406,49073.851563,27200.0
2021-01-14,49584.160156,-0.9998,0.131,0.799,0.071,49432.828125,49663.578125,49182.371094,24500.0
2021-01-15,49034.671875,-0.9993,0.105,0.819,0.076,49656.710938,49656.710938,48795.789063,14700.0
2021-01-18,48564.269531,-0.9999,0.146,0.781,0.073,49061.21875,49122.230469,48403.96875,16600.0
2021-01-19,49398.289063,-0.9999,0.14,0.795,0.065,48900.308594,49499.859375,48805.539063,11000.0
2021-01-20,49792.121094,-0.9999,0.15,0.764,0.086,49508.789063,49874.421875,49373.679688,12200.0
2021-01-21,49624.761719,-0.9996,0.109,0.826,0.065,50096.570313,50184.011719,49398.859375,19300.0
2021-01-22,48878.539063,-0.9995,0.099,0.846,0.055,49594.949219,49676.878906,48832.078125,18400.0
2021-01-25,48347.589844,-0.9998,0.135,0.785,0.08,49253.679688,49263.148438,48274.921875,15500.0
2021-01-27,47409.929688,-0.9934,0.115,0.776,0.109,48385.28125,48387.25,47269.601563,19600.0
2021-01-28,46874.359375,-0.9999,0.154,0.763,0.083,46834.570313,47172.019531,46518.480469,25000.0
2021-01-29,46285.769531,-0.9997,0.118,0.815,0.067,47423.46875,47423.660156,46160.460938,14500.0
2021-02-01,48600.609375,-0.9998,0.116,0.816,0.068,46617.949219,48764.398438,46433.648438,22000.0
2021-02-02,49797.71875,-0.9991,0.131,0.76,0.109,49193.261719,50154.480469,49193.261719,28400.0
